"Date","Price","Open","High","Low","Vol.","Change %"
"06/06/2010","87.51","88.41","88.71","86.94","","-0.82%"
"05/30/2010","88.23","86.73","88.34","86.16","","2.02%"
"05/23/2010","86.48","85.76","87.45","85.62","","1.30%"
"05/16/2010","85.37","86.31","87.46","85.13","","-0.84%"
"05/09/2010","86.09","83.62","86.29","82.91","","1.94%"
"05/02/2010","84.45","81.84","85.27","81.83","","3.15%"
"04/25/2010","81.87","81.47","82.71","81.17","","0.64%"
"04/18/2010","81.35","80.96","82.07","80.76","","0.66%"
"04/11/2010","80.82","80.39","80.91","80.03","","-0.33%"
"04/04/2010","81.09","81.19","81.91","80.87","","-0.25%"
"03/28/2010","81.29","81.46","81.70","80.68","","-0.48%"
"03/21/2010","81.68","80.85","82.24","80.52","","1.19%"
"03/14/2010","80.72","79.78","80.89","79.51","","1.11%"
"03/07/2010","79.83","80.42","80.86","79.69","","-0.75%"
"02/28/2010","80.43","80.42","81.29","79.82","","0.09%"
"02/21/2010","80.36","80.43","81.13","80.09","","-0.35%"
"02/14/2010","80.64","80.36","81.34","79.56","","0.40%"
"02/07/2010","80.32","80.35","80.75","79.56","","-0.15%"
"01/31/2010","80.44","79.46","80.68","78.68","","1.23%"
"01/24/2010","79.46","78.23","79.50","78.03","","1.51%"
"01/17/2010","78.28","77.36","78.81","76.94","","1.24%"
"01/10/2010","77.32","77.21","77.41","76.60","","-0.19%"
"01/03/2010","77.47","77.92","78.19","77.09","","-0.50%"
"12/27/2009","77.86","77.64","78.22","77.33","","0.28%"
"12/20/2009","77.64","77.85","78.45","77.50","","-0.23%"
"12/13/2009","77.82","76.57","78.14","76.25","","1.63%"
"12/06/2009","76.57","75.76","76.73","75.45","","0.87%"
"11/29/2009","75.91","74.80","75.94","74.27","","1.21%"
"11/22/2009","75.00","75.58","75.58","74.17","","-0.87%"
"11/15/2009","75.66","75.07","75.88","74.68","","0.44%"
"11/08/2009","75.33","75.59","75.77","74.77","","-0.65%"
"11/01/2009","75.82","76.37","76.82","75.50","","-0.63%"
"10/25/2009","76.30","75.42","76.58","75.20","","1.10%"
"10/18/2009","75.47","75.67","75.91","74.94","","-0.17%"
"10/11/2009","75.60","76.35","76.67","75.21","","-1.09%"
"10/04/2009","76.43","76.94","76.99","75.77","","-0.74%"
"09/27/2009","77.00","76.63","77.47","76.49","","0.25%"
"09/20/2009","76.81","76.58","77.11","75.83","","0.51%"
"09/13/2009","76.42","76.58","77.08","76.01","","-0.25%"
"09/06/2009","76.61","78.13","78.12","76.46","","-1.96%"
"08/30/2009","78.14","78.27","78.94","77.94","","-0.29%"
"08/23/2009","78.37","78.00","78.83","77.85","","0.42%"
"08/16/2009","78.04","78.90","79.51","77.75","","-1.08%"
"08/09/2009","78.89","78.98","79.39","78.23","","-0.10%"
"08/02/2009","78.97","78.25","79.07","77.43","","0.79%"
"07/26/2009","78.35","78.73","79.66","78.22","","-0.51%"
"07/19/2009","78.75","79.35","79.39","78.42","","-0.76%"
"07/12/2009","79.35","80.24","80.50","79.13","","-1.10%"
"07/05/2009","80.23","80.52","80.89","79.69","","-0.27%"
"06/28/2009","80.45","79.87","80.61","79.35","","0.69%"
"06/21/2009","79.90","80.27","80.94","79.56","","-0.54%"
"06/14/2009","80.33","80.27","81.37","79.97","","0.25%"
"06/07/2009","80.13","80.80","81.47","79.19","","-0.67%"
"05/31/2009","80.67","79.35","80.82","78.33","","1.82%"
"05/24/2009","79.23","79.91","81.13","79.18","","-1.01%"
"05/17/2009","80.04","82.96","83.22","79.81","","-3.51%"
"05/10/2009","82.95","82.42","83.10","81.87","","0.62%"
"05/03/2009","82.44","84.47","84.87","82.39","","-2.48%"
"04/26/2009","84.54","84.73","86.01","83.89","","-0.21%"
"04/19/2009","84.72","85.89","86.87","84.46","","-1.37%"
"04/12/2009","85.90","85.56","86.03","84.45","","0.42%"
"04/05/2009","85.54","84.05","86.00","83.73","","1.62%"
"03/29/2009","84.18","85.50","86.12","84.05","","-1.13%"
"03/22/2009","85.14","83.49","85.35","82.89","","1.71%"
"03/15/2009","83.71","87.48","87.77","82.63","","-4.06%"
"03/08/2009","87.25","88.52","89.46","87.18","","-1.47%"
"03/01/2009","88.55","88.58","89.62","87.88","","0.43%"
"02/22/2009","88.17","86.79","88.49","85.63","","1.82%"
"02/15/2009","86.59","86.49","88.25","86.23","","0.58%"
"02/08/2009","86.09","85.19","86.73","84.47","","0.94%"
"02/01/2009","85.29","86.08","86.55","84.75","","-0.63%"
"01/25/2009","85.83","85.58","86.28","83.57","","0.29%"
"01/18/2009","85.58","83.74","86.81","83.45","","1.82%"
"01/11/2009","84.05","83.17","85.14","83.17","","1.90%"
"01/04/2009","82.48","81.54","84.02","81.18","","1.20%"
"12/28/2008","81.50","80.92","81.92","79.63","","0.65%"
"12/21/2008","80.97","80.97","81.49","80.35","","-0.12%"
"12/14/2008","81.07","83.69","83.69","77.69","","-3.15%"
"12/07/2008","83.71","86.87","86.91","83.21","","-3.91%"
"11/30/2008","87.12","86.42","87.70","86.09","","0.69%"
"11/23/2008","86.52","87.61","87.72","84.71","","-1.89%"
"11/16/2008","88.19","87.57","88.46","86.14","","2.12%"
"11/09/2008","86.36","85.68","88.15","85.06","","0.52%"
"11/02/2008","85.91","85.81","86.90","83.90","","0.33%"
"10/26/2008","85.63","86.32","87.88","83.10","","-0.94%"
"10/19/2008","86.44","82.50","86.97","82.39","","4.89%"
"10/12/2008","82.41","81.58","82.84","80.75","","-0.71%"
"10/05/2008","83.00","81.09","83.19","80.40","","3.35%"
"09/28/2008","80.31","76.91","80.93","76.90","","4.37%"
"09/21/2008","76.95","77.58","77.80","75.89","","-0.94%"
"09/14/2008","77.68","78.42","79.37","77.26","","-1.63%"
"09/07/2008","78.97","78.72","80.38","78.20","","0.05%"
"08/31/2008","78.93","77.75","79.08","77.66","","2.00%"
"08/24/2008","77.38","76.79","77.62","76.55","","0.74%"
"08/17/2008","76.81","77.14","77.41","76.02","","-0.48%"
"08/10/2008","77.18","75.82","77.27","75.49","","1.77%"
"08/03/2008","75.84","73.37","75.90","73.20","","3.30%"
"07/27/2008","73.42","72.82","73.54","72.61","","0.77%"
"07/20/2008","72.86","72.19","73.02","71.74","","0.93%"
"07/13/2008","72.19","71.86","72.41","71.31","","0.12%"
"07/06/2008","72.10","72.69","73.16","71.80","","-0.87%"
"06/29/2008","72.73","72.33","72.85","72.00","","0.51%"
"06/22/2008","72.36","73.07","73.65","72.27","","-0.92%"
"06/15/2008","73.03","74.01","74.18","72.93","","-1.51%"
"06/08/2008","74.15","72.29","74.31","72.13","","2.43%"
"06/01/2008","72.39","72.87","73.87","72.34","","-0.67%"
